id,alex-Volume-volume,alex-FirstOrder-mean,alex-FirstOrder-sigma,alex-FirstOrder-sum,alex-FirstOrder-skewness,alex-FirstOrder-kurtosis,alex-FirstOrder-entropy,alex-FirstOrder-5th%,alex-FirstOrder-95th%,alex-FirstOrder-5th%mean,alex-FirstOrder-95th%mean,alex-FirstOrder-min,alex-FirstOrder-max,alex-FirstOrder-median,alex-FirstOrder-void,alex-Cooccur-energy,alex-Cooccur-entropy,alex-Cooccur-inverseDifferenceMoment,alex-Cooccur-inertia,alex-Cooccur-clusterShade,alex-Cooccur-clusterProminence,alex-RLM-ShortRunEmphasis,alex-RLM-LongRunEmphasis,alex-RLM-GreyLevelNonuniformity,alex-RLM-RunLengthNonuniformity,alex-RLM-LowGreyLevelRunEmphasis,alex-RLM-HighGreyLevelRunEmphasis,alex-RLM-ShortRunLowGreyLevelEmphasis,alex-RLM-ShortRunHighGreyLevelEmphasis,alex-RLM-LongRunLowGreyLevelEmphasis,alex-RLM-LongRunHighGreyLevelEmphasis,maya-inner-Volume-volume,maya-inner-FirstOrder-mean,maya-inner-FirstOrder-sigma,maya-inner-FirstOrder-sum,maya-inner-FirstOrder-skewness,maya-inner-FirstOrder-kurtosis,maya-inner-FirstOrder-entropy,maya-inner-FirstOrder-5th%,maya-inner-FirstOrder-95th%,maya-inner-FirstOrder-5th%mean,maya-inner-FirstOrder-95th%mean,maya-inner-FirstOrder-min,maya-inner-FirstOrder-max,maya-inner-FirstOrder-median,maya-inner-FirstOrder-void,maya-inner-Cooccur-energy,maya-inner-Cooccur-entropy,maya-inner-Cooccur-inverseDifferenceMoment,maya-inner-Cooccur-inertia,maya-inner-Cooccur-clusterShade,maya-inner-Cooccur-clusterProminence,maya-inner-RLM-ShortRunEmphasis,maya-inner-RLM-LongRunEmphasis,maya-inner-RLM-GreyLevelNonuniformity,maya-inner-RLM-RunLengthNonuniformity,maya-inner-RLM-LowGreyLevelRunEmphasis,maya-inner-RLM-HighGreyLevelRunEmphasis,maya-inner-RLM-ShortRunLowGreyLevelEmphasis,maya-inner-RLM-ShortRunHighGreyLevelEmphasis,maya-inner-RLM-LongRunLowGreyLevelEmphasis,maya-inner-RLM-LongRunHighGreyLevelEmphasis,maya-outer-Volume-volume,maya-outer-FirstOrder-mean,maya-outer-FirstOrder-sigma,maya-outer-FirstOrder-sum,maya-outer-FirstOrder-skewness,maya-outer-FirstOrder-kurtosis,maya-outer-FirstOrder-entropy,maya-outer-FirstOrder-5th%,maya-outer-FirstOrder-95th%,maya-outer-FirstOrder-5th%mean,maya-outer-FirstOrder-95th%mean,maya-outer-FirstOrder-min,maya-outer-FirstOrder-max,maya-outer-FirstOrder-median,maya-outer-FirstOrder-void,maya-outer-Cooccur-energy,maya-outer-Cooccur-entropy,maya-outer-Cooccur-inverseDifferenceMoment,maya-outer-Cooccur-inertia,maya-outer-Cooccur-clusterShade,maya-outer-Cooccur-clusterProminence,maya-outer-RLM-ShortRunEmphasis,maya-outer-RLM-LongRunEmphasis,maya-outer-RLM-GreyLevelNonuniformity,maya-outer-RLM-RunLengthNonuniformity,maya-outer-RLM-LowGreyLevelRunEmphasis,maya-outer-RLM-HighGreyLevelRunEmphasis,maya-outer-RLM-ShortRunLowGreyLevelEmphasis,maya-outer-RLM-ShortRunHighGreyLevelEmphasis,maya-outer-RLM-LongRunLowGreyLevelEmphasis,maya-outer-RLM-LongRunHighGreyLevelEmphasis,maya-both-Volume-volume,maya-both-FirstOrder-mean,maya-both-FirstOrder-sigma,maya-both-FirstOrder-sum,maya-both-FirstOrder-skewness,maya-both-FirstOrder-kurtosis,maya-both-FirstOrder-entropy,maya-both-FirstOrder-5th%,maya-both-FirstOrder-95th%,maya-both-FirstOrder-5th%mean,maya-both-FirstOrder-95th%mean,maya-both-FirstOrder-min,maya-both-FirstOrder-max,maya-both-FirstOrder-median,maya-both-FirstOrder-void,maya-both-Cooccur-energy,maya-both-Cooccur-entropy,maya-both-Cooccur-inverseDifferenceMoment,maya-both-Cooccur-inertia,maya-both-Cooccur-clusterShade,maya-both-Cooccur-clusterProminence,maya-both-RLM-ShortRunEmphasis,maya-both-RLM-LongRunEmphasis,maya-both-RLM-GreyLevelNonuniformity,maya-both-RLM-RunLengthNonuniformity,maya-both-RLM-LowGreyLevelRunEmphasis,maya-both-RLM-HighGreyLevelRunEmphasis,maya-both-RLM-ShortRunLowGreyLevelEmphasis,maya-both-RLM-ShortRunHighGreyLevelEmphasis,maya-both-RLM-LongRunLowGreyLevelEmphasis,maya-both-RLM-LongRunHighGreyLevelEmphasis
1,2.5702e+06,-6.2912e+02,2.9806e+02,-2.9510e+09,1.1340e+00,3.1088e+00,4.8008e+00,-9.3891e+02,1.9115e+01,-9.9441e+02,1.4734e+02,-1.0240e+03,2.0650e+03,-7.3054e+02,0.0000e+00,7.0472e-04,7.9594e+00,1.2404e-01,2.4560e+02,1.1949e+05,1.5653e+07,9.9963e-01,1.0015e+00,8.7941e+04,4.6861e+06,1.5093e-02,1.7143e+03,1.5088e-02,1.7124e+03,1.5110e-02,1.7225e+03,8.9743e+04,-6.9032e+02,2.3456e+02,-1.1306e+08,1.7570e+00,5.6452e+00,5.6226e+00,-9.0939e+02,-9.5996e+01,-9.8861e+02,6.2773e+01,-1.0240e+03,2.8900e+02,-7.6797e+02,0.0000e+00,2.0139e-04,6.7093e+00,5.9197e-02,1.1213e+03,1.1195e+06,3.1023e+08,4.2251e-01,3.3182e+00,1.8462e+03,1.6308e+05,2.4413e-03,6.3894e+03,1.0234e-03,2.7006e+03,8.2420e-03,2.1177e+04,3.3458e+05,-6.4115e+02,2.8031e+02,-3.9149e+08,1.1992e+00,3.3847e+00,5.5557e+00,-9.2388e+02,-1.4467e+01,-9.9121e+02,1.1664e+02,-1.0240e+03,7.0700e+02,-7.5570e+02,0.0000e+00,2.4074e-04,6.2953e+00,7.0592e-02,7.4512e+02,5.8700e+05,1.2935e+08,7.6787e-01,1.9328e+00,6.9064e+03,6.0754e+05,4.6876e-03,4.9814e+03,3.5826e-03,3.8262e+03,9.1850e-03,9.6191e+03,4.2432e+05,-6.5155e+02,2.7202e+02,-5.0455e+08,1.3018e+00,3.7168e+00,5.4944e+00,-9.2008e+02,-2.3737e+01,-9.9062e+02,1.0988e+02,-1.0240e+03,7.0700e+02,-7.5570e+02,0.0000e+00,2.6023e-04,6.5246e+00,7.1915e-02,7.2385e+02,5.7826e+05,1.2540e+08,7.6784e-01,1.9330e+00,9.2738e+03,7.7043e+05,4.3359e-03,4.7080e+03,3.3132e-03,3.6163e+03,8.5017e-03,9.0903e+03
2,2.5470e+06,-5.9130e+02,2.5167e+02,-2.8110e+09,1.2829e+00,3.5597e+00,5.4805e+00,-8.4595e+02,-1.1587e+01,-9.9260e+02,8.2112e+01,-1.0240e+03,6.0200e+02,-6.7441e+02,0.0000e+00,2.8562e-04,7.4390e+00,8.6132e-02,3.7106e+02,6.0501e+05,1.3056e+08,9.9977e-01,1.0010e+00,5.5857e+04,4.7510e+06,6.4415e-04,6.2794e+03,6.4389e-04,6.2754e+03,6.4516e-04,6.2957e+03,5.0321e+04,-6.5585e+02,2.2267e+02,-6.1599e+07,1.6614e+00,5.0016e+00,5.4665e+00,-8.6346e+02,-8.7209e+01,-9.9355e+02,2.8886e+01,-1.0240e+03,3.2000e+02,-7.3504e+02,0.0000e+00,2.8185e-04,7.2592e+00,7.3192e-02,5.8451e+02,9.1404e+05,2.2403e+08,4.2239e-01,3.3202e+00,1.1878e+03,9.3436e+04,4.8169e-04,6.7895e+03,2.0165e-04,2.8682e+03,1.6061e-03,2.2531e+04,2.4580e+05,-6.4547e+02,1.9931e+02,-2.9613e+08,1.6253e+00,5.3668e+00,5.4798e+00,-8.4747e+02,-1.6927e+02,-9.9270e+02,-1.0446e+01,-1.0240e+03,3.2700e+02,-7.0651e+02,0.0000e+00,2.5227e-04,7.3582e+00,7.3914e-02,4.9381e+02,6.3674e+05,1.5288e+08,9.9801e-01,1.0082e+00,5.5291e+03,4.5636e+05,4.0566e-04,6.6432e+03,4.0303e-04,6.6321e+03,4.1625e-04,6.6886e+03,2.9612e+05,-6.4723e+02,2.0350e+02,-3.5772e+08,1.6323e+00,5.2977e+00,5.4841e+00,-8.5107e+02,-1.5175e+02,-9.9291e+02,-5.8820e+00,-1.0240e+03,3.2700e+02,-7.0651e+02,0.0000e+00,2.5407e-04,7.3248e+00,7.3829e-02,5.0858e+02,6.7978e+05,1.6384e+08,9.9803e-01,1.0081e+00,6.6775e+03,5.4982e+05,4.1760e-04,6.6557e+03,4.1528e-04,6.6446e+03,4.2696e-04,6.7010e+03
3,3.0730e+06,-7.0895e+02,2.2184e+02,-4.0396e+09,1.9355e+00,6.0556e+00,4.5567e+00,-9.0405e+02,-1.3303e+02,-9.8008e+02,1.2113e+01,-1.0240e+03,1.3410e+03,-7.9933e+02,0.0000e+00,1.4220e-03,8.0109e+00,1.9296e-01,1.1897e+02,1.9455e+05,2.9831e+07,9.9965e-01,1.0016e+00,1.3622e+05,5.6928e+06,1.9895e-03,1.7740e+03,1.9893e-03,1.7706e+03,1.9903e-03,1.7897e+03,9.0935e+04,-7.7260e+02,1.4051e+02,-1.3027e+08,2.9715e+00,1.3799e+01,5.0123e+00,-9.0230e+02,-5.0538e+02,-9.7964e+02,-1.3305e+01,-1.0150e+03,8.1000e+01,-8.0128e+02,0.0000e+00,5.6436e-04,8.3676e+00,1.1355e-01,4.4789e+02,6.8894e+05,2.0065e+08,5.3688e-01,2.8657e+00,2.9894e+03,1.6716e+05,5.7811e-04,4.3398e+03,3.0870e-04,2.3320e+03,1.6630e-03,1.2409e+04,3.0627e+05,-7.6950e+02,1.4275e+02,-4.3700e+08,2.0849e+00,8.7394e+00,5.2864e+00,-9.1225e+02,-4.8121e+02,-9.8192e+02,-1.0856e+01,-1.0210e+03,8.6000e+01,-8.0513e+02,0.0000e+00,3.9144e-04,7.9735e+00,1.0622e-01,4.0182e+02,5.0110e+05,1.3339e+08,9.9711e-01,1.0122e+00,7.6805e+03,5.6356e+05,5.7117e-04,4.5310e+03,5.6790e-04,4.5224e+03,5.8470e-04,4.5667e+03,3.9721e+05,-7.7021e+02,1.4224e+02,-5.6727e+08,2.2817e+00,9.8216e+00,5.2411e+00,-9.1060e+02,-4.8431e+02,-9.8145e+02,-1.1145e+01,-1.0210e+03,8.6000e+01,-8.0513e+02,0.0000e+00,4.1397e-04,8.0557e+00,1.0811e-01,4.1088e+02,5.4426e+05,1.4839e+08,9.9704e-01,1.0125e+00,1.0438e+04,7.3077e+05,5.5922e-04,4.5041e+03,5.5632e-04,4.4955e+03,5.7128e-04,4.5401e+03
4,5.0334e+06,-7.9892e+02,2.2935e+02,-5.2289e+09,2.3044e+00,8.2906e+00,4.0799e+00,-1.0019e+03,-2.2223e+02,-1.0205e+03,5.9432e+00,-1.0240e+03,2.2670e+03,-8.7590e+02,0.0000e+00,1.4865e-03,8.2793e+00,1.4006e-01,1.7110e+02,8.4930e+04,1.0671e+07,9.9977e-01,1.0010e+00,2.1010e+05,6.5410e+06,5.6773e-02,6.4275e+02,5.6762e-02,6.4190e+02,5.6901e-02,6.4637e+02,1.5020e+05,-8.5637e+02,1.7398e+02,-1.6725e+08,3.3613e+00,1.6591e+01,4.3073e+00,-1.0053e+03,-5.6516e+02,-1.0214e+03,-2.2621e+01,-1.0240e+03,9.4600e+02,-8.9595e+02,0.0000e+00,8.7107e-04,8.7391e+00,9.7736e-02,4.1882e+02,2.3486e+05,4.8617e+07,4.2211e-01,3.3267e+00,5.2992e+03,1.9383e+05,4.2847e-02,1.0075e+03,1.8031e-02,4.2580e+02,1.4387e-01,3.3413e+03,4.5853e+05,-8.5211e+02,1.5436e+02,-5.0806e+08,2.8350e+00,1.4656e+01,4.8757e+00,-1.0101e+03,-5.8629e+02,-1.0224e+03,-2.4793e+01,-1.0240e+03,4.1400e+02,-8.8739e+02,0.0000e+00,3.8910e-04,8.8512e+00,7.0754e-02,7.2613e+02,3.2443e+05,8.3941e+07,9.9795e-01,1.0090e+00,1.0548e+04,5.9301e+05,4.2802e-02,1.7224e+03,4.2462e-02,1.7208e+03,4.4700e-02,1.7291e+03,6.0873e+05,-8.5316e+02,1.5944e+02,-6.7531e+08,3.0122e+00,1.5461e+01,4.4030e+00,-1.0074e+03,-5.8288e+02,-1.0218e+03,-2.4364e+01,-1.0240e+03,9.4600e+02,-8.9595e+02,0.0000e+00,7.3517e-04,8.8797e+00,9.4966e-02,3.9475e+02,1.5286e+05,2.9886e+07,9.9723e-01,1.0121e+00,1.9469e+04,7.8577e+05,4.8181e-02,9.4466e+02,4.7807e-02,9.4342e+02,5.0276e-02,9.4981e+02
5,2.9093e+06,-7.0573e+02,2.5839e+02,-3.3808e+09,1.5706e+00,4.9866e+00,4.5011e+00,-9.7473e+02,-8.5307e+01,-1.0077e+03,6.0982e+01,-1.0240e+03,2.3510e+03,-7.7088e+02,0.0000e+00,7.7561e-04,8.2297e+00,1.0398e-01,2.2002e+02,7.7372e+04,8.9970e+06,9.9974e-01,1.0011e+00,1.1006e+05,4.7871e+06,2.3823e-02,9.9143e+02,2.3819e-02,9.9049e+02,2.3846e-02,9.9535e+02,9.6555e+04,-7.4668e+02,2.1689e+02,-1.1871e+08,1.9029e+00,6.9949e+00,5.4913e+00,-9.7353e+02,-2.5259e+02,-1.0074e+03,-2.2323e+01,-1.0240e+03,4.0400e+02,-8.0266e+02,0.0000e+00,1.7995e-04,7.6235e+00,4.8029e-02,1.1250e+03,6.8936e+05,1.7754e+08,3.6499e-01,3.5509e+00,1.8566e+03,1.5845e+05,1.1776e-02,4.0333e+03,4.2884e-03,1.4726e+03,4.2019e-02,1.4305e+04,3.6885e+05,-7.3891e+02,2.1965e+02,-4.4878e+08,1.6505e+00,5.8802e+00,5.3904e+00,-9.7650e+02,-2.5467e+02,-1.0085e+03,-2.2685e+01,-1.0240e+03,6.0500e+02,-8.0409e+02,0.0000e+00,2.0344e-04,7.6462e+00,5.3352e-02,8.9455e+02,4.1120e+05,9.0161e+07,7.6822e-01,1.9303e+00,7.4526e+03,6.0507e+05,1.4238e-02,3.2442e+03,1.0921e-02,2.4934e+03,2.7597e-02,6.2537e+03,4.6540e+05,-7.4052e+02,2.1911e+02,-5.6749e+08,1.7013e+00,6.0926e+00,5.3736e+00,-9.7570e+02,-2.5418e+02,-1.0081e+03,-2.2685e+01,-1.0240e+03,6.0500e+02,-8.0409e+02,0.0000e+00,2.0837e-04,7.7422e+00,5.3585e-02,8.8834e+02,4.2244e+05,9.3151e+07,7.6822e-01,1.9304e+00,9.5586e+03,7.6344e+05,1.3962e-02,3.2154e+03,1.0708e-02,2.4712e+03,2.7065e-02,6.1984e+03
6,3.2242e+06,-7.4060e+02,2.7101e+02,-1.1155e+10,1.8487e+00,5.3169e+00,4.9218e+00,-9.9568e+02,-3.3934e+01,-1.0182e+03,1.0692e+02,-1.0240e+03,1.2030e+03,-8.3471e+02,0.0000e+00,5.5905e-04,7.8984e+00,9.4790e-02,3.5176e+02,3.8684e+05,7.0698e+07,9.9989e-01,1.0004e+00,2.7681e+05,1.5058e+07,3.7186e-02,2.0648e+03,3.7184e-02,2.0638e+03,3.7193e-02,2.0692e+03,1.0434e+05,-8.1956e+02,1.8378e+02,-3.9950e+08,2.7845e+00,1.2409e+01,5.0464e+00,-9.9200e+02,-4.5318e+02,-1.0173e+03,2.9354e+01,-1.0240e+03,3.7900e+02,-8.6265e+02,0.0000e+00,3.5290e-04,8.5976e+00,6.7684e-02,6.8859e+02,6.8959e+05,1.9318e+08,9.9822e-01,1.0075e+00,8.0950e+03,4.8516e+05,2.6592e-02,2.5534e+03,2.6416e-02,2.5506e+03,2.7484e-02,2.5649e+03,2.6196e+05,-7.7695e+02,2.1600e+02,-9.5084e+08,2.0544e+00,7.5050e+00,4.7732e+00,-9.9042e+02,-2.7432e+02,-1.0166e+03,3.9669e+01,-1.0240e+03,1.1480e+03,-8.3938e+02,0.0000e+00,5.6740e-04,8.3834e+00,9.1401e-02,3.1854e+02,2.3203e+05,4.0533e+07,9.9795e-01,1.0084e+00,2.4270e+04,1.2172e+06,3.1717e-02,1.5254e+03,3.1570e-02,1.5234e+03,3.2358e-02,1.5331e+03,3.6630e+05,-7.8909e+02,2.0822e+02,-1.3503e+09,2.2233e+00,8.4389e+00,4.6828e+00,-9.9102e+02,-3.1230e+02,-1.0169e+03,3.7435e+01,-1.0240e+03,1.1480e+03,-8.3938e+02,0.0000e+00,6.3224e-04,8.4410e+00,9.4229e-02,3.0957e+02,2.2297e+05,3.9160e+07,9.9787e-01,1.0088e+00,3.6388e+04,1.7016e+06,3.1967e-02,1.3968e+03,3.1812e-02,1.3950e+03,3.2656e-02,1.4042e+03
7,2.9689e+06,-5.9700e+02,2.1921e+02,-3.1023e+09,9.5893e-01,3.6126e+00,5.3910e+00,-8.5224e+02,-1.2078e+02,-9.7307e+02,-3.1544e+00,-1.0240e+03,7.7200e+02,-6.1990e+02,0.0000e+00,3.9466e-04,8.2317e+00,1.2491e-01,2.8345e+02,2.1175e+05,4.9681e+07,7.6901e-01,1.9248e+00,5.8840e+04,5.1921e+06,8.4032e-04,4.7418e+03,6.4627e-04,3.6450e+03,1.6166e-03,9.1384e+03,9.5761e+04,-6.5576e+02,1.9679e+02,-1.0991e+08,1.2252e+00,4.0052e+00,5.7502e+00,-8.5410e+02,-2.4795e+02,-9.7322e+02,-1.9073e+01,-1.0120e+03,9.0000e+01,-7.3099e+02,0.0000e+00,3.0118e-04,5.7096e+00,9.0264e-02,7.0760e+02,7.7885e+05,2.2563e+08,3.6457e-01,3.5624e+00,1.7018e+03,1.6652e+05,3.2930e-04,9.0215e+03,1.1924e-04,3.2916e+03,1.1829e-03,3.2057e+04,3.6844e+05,-6.1635e+02,1.8700e+02,-3.9748e+08,7.9771e-01,3.3914e+00,5.6627e+00,-8.4879e+02,-2.6462e+02,-9.7277e+02,-1.9690e+01,-1.0170e+03,3.0300e+02,-6.2760e+02,0.0000e+00,2.3895e-04,7.4444e+00,9.3964e-02,4.7928e+02,2.4352e+05,7.6397e+07,7.6737e-01,1.9362e+00,5.9225e+03,6.4057e+05,3.3349e-04,7.4314e+03,2.5486e-04,5.7069e+03,6.5067e-04,1.4357e+04,4.6420e+05,-6.2448e+02,1.8973e+02,-5.0739e+08,8.7666e-01,3.4585e+00,5.6419e+00,-8.5022e+02,-2.6151e+02,-9.7292e+02,-1.9576e+01,-1.0170e+03,3.0300e+02,-6.5400e+02,0.0000e+00,2.6716e-04,7.3157e+00,9.6491e-02,4.8215e+02,2.8264e+05,8.2353e+07,7.6732e-01,1.9366e+00,7.7523e+03,8.0690e+05,3.5060e-04,7.2260e+03,2.6814e-04,5.5490e+03,6.8340e-04,1.3961e+04
